65 704
5 54 21
56 55 13
6 44 34
22 53 24
40 57 41
63 29 25
53 60 30
20 43 49
41 26 31
29 16 8
27 8 2
2 52 45
7 34 50
9 26 48
28 17 41
59 38 34
31 65 50
40 23 39
1 2 47
17 16 35
17 1 46
38 7 30
61 55 44
44 17 49
14 17 47
18 34 32
7 11 11
23 27 37
12 35 40
10 65 48
60 58 20
7 41 39
64 14 8
53 28 36
63 17 46
3 19 3
57 53 43
11 10 11
16 44 26
53 63 39
40 23 7
65 62 43
35 6 44
6 34 11
57 48 49
1 46 48
31 24 31
38 48 44
14 32 3
58 51 50
48 43 12
53 6 16
43 42 21
37 53 19
7 33 39
64 58 18
53 1 41
60 41 42
29 13 2
31 62 17
20 5 31
21 59 26
1 2 19
61 12 36
30 3 17
11 35 35
20 28 41
4 23 15
13 41 42
5 64 29
15 50 39
23 42 6
43 50 20
51 28 33
29 33 37
30 9 41
26 47 1
34 61 18
52 21 27
57 26 34
33 61 49
10 27 38
55 60 6
4 18 21
12 27 40
40 61 14
28 50 14
65 57 40
1 25 6
22 37 24
30 5 30
8 59 23
41 64 11
29 23 1
57 52 18
42 45 22
30 32 2
23 19 27
6 1 25
27 64 27
20 25 3
56 14 41
16 42 45
42 7 32
21 25 15
16 43 19
57 37 2
28 3 50
13 46 8
17 62 28
64 12 41
16 44 11
46 52 22
59 18 18
65 23 46
42 60 43
44 65 33
43 45 49
6 24 50
46 34 1
17 56 42
48 19 31
9 6 46
14 27 41
10 65 1
53 39 17
15 7 40
24 63 6
56 14 36
37 2 20
42 27 5
55 64 21
16 12 26
10 60 34
50 61 7
38 4 43
11 12 9
64 28 7
1 35 18
47 8 48
50 61 43
19 21 9
23 18 25
59 6 25
10 22 25
52 55 42
34 53 36
51 24 21
40 3 4
30 50 28
37 33 3
54 63 3
27 60 47
56 22 26
25 52 16
52 29 26
59 14 20
48 37 34
17 38 42
9 30 34
20 58 8
53 1 3
43 44 38
44 53 31
16 32 27
4 21 30
59 37 21
57 59 16
56 7 37
49 50 24
25 55 44
29 51 39
50 11 19
49 20 47
30 36 21
57 13 12
37 21 24
32 41 45
42 3 10
63 38 30
58 53 34
56 14 35
41 5 13
10 59 32
21 37 1
48 26 19
12 11 3
7 55 47
12 25 50
27 6 6
32 63 23
16 57 42
56 41 3
19 50 17
51 65 25
20 27 11
8 28 16
64 20 2
57 20 37
59 48 21
54 35 47
27 40 4
44 30 33
24 32 49
54 13 10
15 26 20
19 31 40
9 6 31
11 53 45
16 58 15
20 42 36
13 62 49
62 18 13
46 51 47
3 38 21
51 50 14
31 19 7
43 29 48
59 55 38
28 26 4
30 31 31
39 20 22
47 19 25
28 36 45
14 53 37
29 18 5
39 53 28
6 12 28
17 37 9
29 18 14
32 8 2
10 54 42
15 6 46
9 61 41
54 50 18
20 22 31
32 55 37
1 15 21
47 37 41
32 28 47
63 60 16
33 23 1
12 9 50
60 62 35
24 55 23
62 22 1
39 50 26
18 12 21
64 41 24
43 59 7
28 41 11
32 2 30
5 63 2
60 14 13
7 29 2
36 46 41
19 42 39
57 43 7
6 30 22
5 61 50
21 64 47
43 40 39
58 11 41
6 19 40
44 2 37
50 45 11
28 37 4
2 50 26
65 3 11
42 17 15
9 12 36
45 10 27
24 42 43
29 35 48
57 16 16
62 36 47
14 26 10
60 29 24
20 15 22
30 22 39
39 50 12
32 52 26
52 3 47
13 42 38
32 21 29
53 33 47
50 29 44
53 26 8
57 65 2
38 30 21
11 3 20
6 30 17
6 11 13
10 58 11
24 38 41
52 61 24
30 8 15
43 17 41
42 47 33
39 46 23
28 13 38
47 61 7
27 55 19
47 48 37
5 23 45
35 65 22
59 32 30
58 46 11
8 54 3
14 53 13
2 11 38
65 21 41
49 59 39
47 48 46
38 18 15
62 2 13
43 39 10
40 62 24
61 37 2
14 3 39
37 61 35
55 61 43
42 44 5
33 26 11
16 6 43
43 8 40
3 53 26
58 19 26
43 17 18
59 31 6
4 23 46
60 16 21
10 4 44
51 38 11
19 65 18
49 26 10
35 31 28
27 54 31
62 48 12
26 24 40
54 19 33
35 26 26
59 24 12
27 47 10
17 52 23
64 55 39
2 20 11
26 51 2
1 11 8
36 26 21
24 34 25
27 17 5
5 49 34
23 28 13
42 54 17
32 10 19
59 42 11
56 42 31
29 27 48
18 45 30
23 27 35
31 39 41
49 14 31
35 22 33
35 41 46
54 27 14
12 28 8
59 31 28
27 62 30
18 49 18
55 12 29
61 21 3
44 33 18
30 10 32
18 7 39
37 46 19
1 40 30
10 31 16
43 4 24
59 65 44
31 52 15
41 19 21
60 65 11
26 61 47
15 35 39
11 20 49
33 2 25
37 27 23
10 12 11
50 21 34
41 21 39
33 18 6
37 64 27
42 34 30
63 17 21
37 22 39
18 38 22
49 47 50
50 1 33
37 26 18
62 30 33
31 20 49
17 20 30
7 34 38
30 53 16
63 1 27
10 50 24
6 49 2
33 20 38
49 2 11
43 20 9
10 54 12
33 32 39
37 21 42
30 5 42
47 43 46
35 60 40
65 8 46
35 52 36
40 49 2
7 20 4
21 57 1
49 55 49
30 32 41
37 53 30
31 40 4
7 22 50
46 8 19
43 4 5
25 65 13
46 60 47
6 25 21
15 58 13
35 36 42
39 59 45
11 43 32
36 59 3
47 10 17
51 25 16
63 13 23
65 16 18
22 34 7
13 33 22
34 54 21
46 38 10
41 37 1
21 10 46
1 47 37
58 44 8
42 15 25
42 7 21
33 16 44
30 29 31
23 19 43
43 31 18
41 49 2
41 25 44
61 62 7
32 7 47
39 7 12
47 59 30
39 40 18
10 38 40
55 14 41
50 9 9
40 8 10
47 63 9
19 60 4
13 27 1
56 19 28
16 47 32
29 49 10
30 35 37
65 57 33
63 53 45
12 8 28
6 47 49
5 48 27
38 25 34
35 21 39
45 27 18
18 32 49
27 56 25
40 37 45
52 32 43
47 24 49
61 42 33
5 25 34
28 65 36
61 31 5
5 45 21
53 13 7
60 42 8
2 10 21
5 18 22
14 48 8
44 15 34
38 16 33
29 38 23
46 3 15
6 48 9
62 14 24
46 6 11
11 24 8
2 44 28
33 5 7
38 40 27
4 56 4
22 17 30
18 24 49
39 14 14
64 65 17
21 44 16
45 41 33
47 39 33
52 21 10
18 29 20
11 8 32
21 6 7
16 44 17
43 14 31
50 18 47
50 27 25
22 35 37
61 5 2
4 13 38
38 25 15
33 32 10
31 45 36
12 22 29
17 7 30
56 45 21
1 34 43
54 5 36
62 15 11
23 60 11
40 26 17
49 24 42
6 9 21
19 32 44
23 60 29
12 57 23
12 49 19
32 15 27
40 36 30
4 21 14
7 34 4
26 49 16
44 45 38
58 47 3
61 52 45
42 52 40
32 63 30
62 44 37
18 2 25
45 14 46
39 50 34
9 48 44
56 63 37
26 41 26
14 61 44
13 41 15
56 10 40
6 61 36
6 1 3
38 39 21
26 25 36
8 9 18
61 7 24
54 61 39
42 24 44
51 60 29
58 53 45
30 20 11
1 49 35
60 17 31
23 29 45
59 32 34
44 34 24
6 46 10
3 23 3
10 17 37
6 55 6
34 11 17
65 48 44
40 56 3
60 40 50
52 24 38
16 61 23
3 56 45
42 54 44
45 58 47
21 31 35
39 35 4
55 62 30
48 10 36
47 57 18
25 40 34
44 11 21
25 6 41
8 50 23
18 28 4
32 3 15
37 24 13
47 61 15
31 27 22
3 19 46
12 52 1
35 57 44
21 8 29
36 16 2
65 57 8
65 37 2
21 20 12
42 41 11
40 62 41
7 6 35
33 14 45
8 5 29
5 61 39
29 21 8
2 17 9
33 18 24
64 29 44
36 42 5
61 47 41
14 31 11
20 41 28
23 52 1
4 58 30
13 51 36
24 40 4
23 50 49
33 15 36
30 11 41
53 48 43
38 56 36
1 61 17
6 22 48
22 43 3
54 43 25
57 17 24
47 52 46
20 51 50
8 13 1
57 9 29
33 14 40
63 47 48
35 8 39
32 54 42
35 20 4
27 62 20
5 13 12
30 19 13
5 8 46
39 12 19
24 58 26
16 52 49
57 23 39
62 5 44
17 9 46
64 60 8
7 4 41
45 37 1
13 38 43
54 32 2
62 20 50
44 59 29
24 20 44
24 32 9
64 3 49
49 52 43
47 63 50
61 58 32
59 58 40
3 33 37
27 9 22
45 51 2
48 9 47
53 37 19
12 51 49
44 40 33
31 3 32
23 20 26
36 10 39
57 47 1
4 50 25
20 10 48
27 4 28
25 54 48
11 48 38
7 4 45
49 11 10
52 45 32
32 44 10
65 36 19
20 17 47
12 20 48
6 15 35
24 5 14
41 63 48
31 37 20
63 25 28
13 4 17
